dcn,seqnum,sectitle,tprice,tprice_adj,tprice_ar,shares,shares_adj,sigdate,secdate,ticker,acqdisp,optionsell,cleanse,cusip6,cusip,datadate,prccd
00520945,1.0,COM,18.63,18.63,18.63,6000.0,6000.0,2000-02-03,2000-02-03,AIR,D,N,R,000361,000361105,2000-02-03,18.625
00520945,2.0,COM,18.63,18.63,18.63,12700.0,12700.0,2000-02-03,2000-02-03,AIR,D,N,R,000361,000361105,2000-02-03,18.625
01525299,1.0,COM,12.25,12.25,12.25,15200.0,15200.0,2001-02-05,2001-02-05,AIR,D,N,R,000361,000361105,2001-02-05,14.5
01525299,2.0,COM,14.9,14.9,14.9,20700.0,20700.0,2001-02-05,2001-02-05,AIR,D,N,R,000361,000361105,2001-02-05,14.5
01526703,1.0,COM,14.55,14.55,14.55,19400.0,19400.0,2001-02-07,2001-02-07,AIR,D,N,R,000361,000361105,2001-02-07,14.48
01526703,2.0,COM,14.51,14.51,14.51,11600.0,11600.0,2001-02-07,2001-02-07,AIR,D,N,R,000361,000361105,2001-02-07,14.48
01526703,3.0,COM,14.57,14.57,14.57,69000.0,69000.0,2001-02-07,2001-02-07,AIR,D,N,R,000361,000361105,2001-02-07,14.48
02628010,2.0,COM,13.17,13.17,13.17,30900.0,30900.0,2002-04-30,2002-04-30,AIR,D,N,R,000361,000361105,2002-04-30,12.74
02628010,3.0,COM,13.0,13.0,13.0,22800.0,22800.0,2002-04-30,2002-04-30,AIR,D,N,R,000361,000361105,2002-04-30,12.74
02628010,4.0,COM,13.13,13.13,13.13,21300.0,21300.0,2002-04-30,2002-04-30,AIR,D,N,R,000361,000361105,2002-04-30,12.74
02789483,1.0,COM,4.38,4.38,4.38,15000.0,15000.0,2002-10-15,2002-10-15,AIR,A,,R,000361,000361105,2002-10-15,4.5
02815615,1.0,COM,4.05,4.05,4.05,1000.0,1000.0,2002-11-11,2002-11-12,AIR,A,,R,000361,000361105,2002-11-12,5.1
031080208,1.0,COM,2.83,19.81,2.83,7100.0,1014.2857,2003-12-31,2003-12-31,,D,N,R,000886,000886309,2003-12-31,2.97
031080208,2.0,COM,2.84,19.88,2.84,1800.0,257.1429,2003-12-31,2003-12-31,,D,N,R,000886,000886309,2003-12-31,2.97
031080208,3.0,COM,2.84,19.88,2.84,2100.0,300.0,2003-12-31,2003-12-31,,D,N,R,000886,000886309,2003-12-31,2.97
031080208,4.0,COM,2.84,19.88,2.84,500.0,71.4286,2003-12-31,2003-12-31,,D,N,R,000886,000886309,2003-12-31,2.97
031080208,5.0,COM,2.84,19.88,2.84,500.0,71.4286,2003-12-31,2003-12-31,,D,N,R,000886,000886309,2003-12-31,2.97
031080208,6.0,COM,2.82,19.74,2.82,75.0,10.7143,2003-12-31,2003-12-31,,D,N,R,000886,000886309,2003-12-31,2.97
031057355,2.0,COM,12.48,12.48,12.48,4200.0,4200.0,2003-12-16,2003-12-16,AAMRQ,D,A,R,001765,001765106,2003-12-16,12.52
031057355,3.0,COM,12.47,12.47,12.47,3000.0,3000.0,2003-12-16,2003-12-16,AAMRQ,D,A,R,001765,001765106,2003-12-16,12.52
